,original,paraphrase
7,"– za ustne izpite oziroma zagovore določi razpored kandidatov in šolskih izpitnih komisij po izpitnih prostorih; – na predlog strokovnih aktivov šole določi merila za pretvorbo točk v ocene za drugi in za četrti predmet; – potrjuje ocene za posamezne predmete in ugotavlja splošni uspeh kandidatov; – odloča o ukrepih zaradi storjenih kršitev pri izpitu; – obravnava sume prepisovanja; – odloča o pritožbah in ugovorih kandidatov v skladu s pristojnostmi; – slovesno razglasi rezultate poklicne mature; – za čas opravljanja poklicne mature določi izpitni in maturitetni hišni red; – sprejme poročilo o izvedbi poklicne mature na šoli; – opravlja druge naloge, določene s tem pravilnikom in z drugimi predpisi ter z navodili DK PM in Rica. Oton Jerman","- za ustne izpite ali zagovor, določa urnik kandidatov in šolskih izpitnih komisij po izpitnih sobah; - na predlog poklicnih dejavnosti šole določa merila za pretvorbo točk v ocene za drugo in četrto osebo; - potrjuje ocene za posamezne predmete in določa splošni uspeh kandidatov;; - odloča o ukrepih za kršitve, storjene na izpitu; - obravnava sume transkripcije; - odloča o pritožbah in ugovorih kandidatov v skladu s kompetencami; - slovesno objavlja rezultate strokovne mature; - potrjuje poročilo o izvajanju poklicne mature na šoli DK; - opravlja druge naloge, določene s to uredbo in drugimi predpisi in v skladu z navodili PM in Rico."
8,neudeleženi,ne sodelujejo
9,program PT PTI SSI Skupaj:,Program PT PTI SSI Skupaj:
10,opravljali,Izvedel je namreč
11,opravili,so storili
12,Odstotek pozitivnih (%),Odstotek pozitivnih rezultatov (%)
13,VSI dijaki ostali,Vsi drugi učenci
14,po programu PTI,po programu PTI
15,PT,PT
16,Spomladanski izpitni rok,Izpit za pomlad
17,OSTALI,druge osebe
18,delno popravljanje,Delni popravek za
19,spol ŽENSKE,Spol pri ženskah
20,spol ŽENSKE,Spol pri ženskah
21,"Tabela 5.8.2: Splošni uspeh kandidatov po programu, statusu in spolu za spomladanski izpitni rok 2008 V tabeli je navedeno število in delež (odstotek) kandidatov v ustrezni kategoriji.","Tabela 5.8.2 Skupni uspeh kandidatov po programih, statusu in spolu za spomladanski izpitni rok 2008 Tabela prikazuje število in odstotek (odstotek) kandidatov v ustrezni kategoriji."
22,Odstotek kandidatov po spolu (%),Odstotek kandidatov glede na spol (%)
23,VSI,vsi ostali.
24,Splošni uspeh na poklicni maturi,Splošni uspeh na poklicni maturi
25,Odstotek kandidatov po programu (%),Odstotek kandidatov za posamezni program (%)
26,SSI 6.454,SSI 6.454
27,spol %,spol%
28,Odstotek kandidatov po programu (%),Odstotek kandidatov za posamezni program (%)
29,"izobraževalni program aranžerski tehnik ekonomski tehnik elektrotehnik elektronik elektrotehnik elektronike elektrotehnik energetik elektrotehnik energetike elektrotehnik računalništva elektrotehnik računalništva - poklicni tečaj elektrotehnik telekomunikacij farmacevtski tehnik geodetski tehnik gostinski tehnik gostinsko turistični tehnik gradbeni tehnik kemijski tehnik kmetijski tehnik kmetijsko-podjetniški tehnik kozmetični tehnik laboratorijski tehnik lesarski tehnik medijski tehnik plovbni tehnik prometni tehnik strojni tehnik tehnik zdravstvene nege turistični tehnik veterinarski tehnik vrtnarski tehnik vzgojitelj predšolskih otrok živilski tehnik Skupaj SSI 14,3 14,0 12,0 13,3 11,5 12,0 12,0 11,5 12,0 14,3 12,6 13,8 12,0 13,2 11,0 12,3 14,0 15,0 13,9 12,3 12,4 14,5 16,0 10,0 13,9 12,0 13,5 vrste programov PTI 15,3 11,8 11,3 12,7 13,0 10,7 16,0 13,5 14,3 14,1 11,5 14,5 PT 13,1 9,0 12,0 14,5 13,4 status DIJAKI OSTALI 14,3 12,0 14,8 9,0 12,3 12,4 12,7 11,0 12,0 12,0 9,0 12,0 11,5 12,0 14,3 11,0 13,8 12,1 13,8 12,0 16,0 13,2 11,0 11,5 13,3 14,0 15,0 14,1 11,5 13,6 13,0 12,1 14,4 16,0 10,0 16,0 14,0 12,0 11,9 14,0 spol MOŠKI 14,7 11,9 12,4 12,7 11,5 12,0 9,0 12,0 10,0 12,0 12,5 13,0 12,7 12,0 12,0 11,0 12,7 14,0 15,0 13,6 13,4 12,0 14,8 16,0 14,2 10,0 13,6 ŽENSKE 14,3 14,7 13,0 15,0 9,5 15,5 16,0 13,2 16,5 15,5 12,2 14,2 16,0 10,0 14,1 13,0 14,2 VSI 14,3 14,7 11,9 12,4 12,7 11,5 12,0 9,0 12,0 11,5 12,0 14,3 13,0 12,1 13,8 12,0 16,0 13,2 11,0 12,7 14,0 15,0 14,1 13,6 12,2 14,4 16,0 10,0 14,1 12,0 13,9","izobraževalni program Arranger Tehnik Gospodarski tehnik Elektronika Elektro inženiring Inženir Energetika Elektro inženiring Elektro inženiring Tehnik Elektro inženiring Inženiring - Poklicni tečaj Elektro inženiring Tehnik Farmacevtski telekomunikacijski tehnik Geodetski tehnik Gostinstvo Tehnik Turizem Gradbeni tehnik Kemijski tehnik Kmetijski-podjetniški tehnik Tehnik Kozmetični tehnik Tehnik Lesarski tehnik Tehnik za medije Tehnik za navigacijo Tehnik za promet strojni tehnik za zdravstveno varstvo turizem tehnik veterinarski tehnik vrtnarski tehnik za predšolske otroke živilski tehnik Skupaj SSI 14,3 14,0 12,0 13,0 11,5 12,0 11,5 12,0 14,3 12,6 13,8 12,0 13,2 11,0 11,3 12,0 12,4 14,0 16,0 10,0 13,0 12,0 13,0 13,0 12,0 13,5 vrste programov PTI 15.3 11,8 11,3 12,7 13,0 16,0 13,0 13,5 14,5 14,5 14,5 14,5 14,5 15,1 PT 9,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,5 11,5 11,5 11,5 11,3 14,0 13,8 12,1 13,8 12,1 13,8 12,0 12,0 12,0 12,0 12,0 16,0 13,0 11,0 11,0 11,0 11,0 11,1 13,0 11,1 13,1,0 14,4 16,0 16,0 16,0 14,0 14,0 14,0 12,0 12,0 11,9 14,0 Moški 14,7 11,9 11,4 11,5 12,0 12,0 12,0 9,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 12,0 14,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 15,0 12,0 11,0 12,0 12,0 13,0 12,0 13,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0 14,0"
30,Odstotne točke,odstotne točke točke
31,1.predmet,1.predmet zadeva
32,3 Ocene,3 Ocene 3
33,ANALIZA POKLICNE MATURE PRI POSAMEZNIH PREDMETIH,Analiza poklicne matematike pri posameznih predmetih
34,LETNO MATURITETNO POROČILO O POKLICNI MATURI 2008,Letno poročilo o poklicni matematiki 2008
35,"(nzd) 4 26,67 (zd) 6 40,00 (db) 4 26,67 (pd) 1 6,67 (odl) – 2–8 11 73,33 VSI 15 100 Povp. ocena 2,13","(NZD) 4 26,67 () dž 6 40,00 (db) 4 26,67 () pd 1 6,67 (odl) - 2-8 11 73.33 VSI 15 100 stopnja 2,13"
36,"(nzd) 1 50,00 (zd) 1 50,00 (db) – (pd) – (odl) – 2–8 1 50,00 VSI 2 100 Povp. ocena 1,50","(NZD) 1 50,00 () dž 1 50,00 (db) - (d) - (odl) - 2-8 1 50,00 VSI 2 100 stopnja 1,50"
37,"Ustni del Spomladanski izpitni rok Jesenski izpitni rok Zimski izpitni rok Frekvence (število kandidatov) v delih distribucije Nižji del Srednji del Višji del 5 7 3 1 2 3 Podatkov ni mogoče razporediti v treh delih. Interval točk oziroma točke v delih distribucije Nižji del Srednji del Višji del 0–18 21–26 28–38 0 11–16 26–28 Min. točkovanje 12, maks. točkovanje 21.",Ustni del Spomladanski izpitni rok Jesenski izpitni rok Zimski izpitni rok Pogostost (število kandidatov) v delih distribucije Spodnji del Srednji del Višji del 5 7 3 1 2 3 Podatkov ni mogoče razdeliti v tri dele. Interval točk v delih distribucije Spodnji del Srednji del Višji del 0-18 21-26 28-38 0 11-16 26-28 Min. točkovanje 12 max. točkovanje 21.
38,6.3.1 Aktivnosti,6.3.1 Dejavnosti
39,"Poklicna matura iz madžarščine se izvaja le na Dvojezični srednji šoli v Lendavi. Poklicno maturo iz madžarščine je v spomladanskem roku opravljalo 8 kandidatov, vsi uspešno: 4 so dosegli dober uspeh, 3 prav dober uspeh, en kandidat pa odličen uspeh. Dosežena povprečna ocena je bila 3,63. Kljub temu da zaradi nizkega števila kandidatov ni mogoče objektivno sklepati o merskih karakteristikah posameznih delov izpita in izpitnih nalog, ugotavljamo, da je bil uspeh kandidatov na tem roku v tem šolskem letu nekoliko boljši kakor prejšnje leto. Kandidati so na spomladanskem izpitnem roku poklicne mature letos dosegli povprečno 72,38 odstotne točke, (lani 67,25, predlani pa 65,86). V jesenskem izpitnem roku so trije kandidati opravljali izpit. Vsi so bili uspešni: en kandidat je dosegel dober uspeh, dva pa zadosten uspeh. Dosežena povprečna ocena je bila 2,33. V zimskem izpitnem roku ni bilo nobenega kandidata za izpit. Komisija je določila meje za pretvorbo točk v ocene. Ugotavljamo, da je korelacija med pisnim in ustnim delom izpita tudi v tem šolskem letu primerna.","Poklicno maturo v madžarščini opravljajo samo na Dvojezični srednji šoli v Lendavi. Spomladi je 8 kandidatov opravljalo poklicno maturo v madžarščini, vsi so bili uspešni: 4 so dosegli dober uspeh, 3 dober uspeh, en kandidat pa odličen uspeh. Povprečna dosežena ocena je bila 3,63. Kljub temu, da zaradi nizkega števila kandidatov ni mogoče objektivno sklepati o merskih značilnostih posameznih delov izpitnih in izpitnih nalog, ugotavljamo, da je bila uspešnost kandidatov na tem roku v letošnjem šolskem letu nekoliko boljša kot na spomladanskem izpitu. Na spomladanskem izpitu so kandidati v povprečju dosegli 72,38 odstotne točke, (lani 67, lani pa 65,86). V jesenskem izpitnem roku so izpit opravili trije kandidati. Vsi so bili uspešni: en kandidat je dosegel dober uspeh, dva pa zadosten uspeh. Povprečna dosežena ocena je bila 2,33. V zimskem izpitnem obdobju ni bilo kandidatov za izpit. Komisija je določila omejitve za pretvorbo točk v ocene. Ugotavljamo, da je korelacija med pisnim in ustnim delom izpita ustrezna tudi v tem šolskem letu."
40,"(nzd) % 4 5,63 (zd) % 7 9,86 (db) % 20 28,17 (pdb) % 31 43,66 (odl) % 9 12,68 2–5 67 94,37 VSI 71 Povp. ocena 3,48",(nzd)% 4 5.63 () dž% 7 9.86 (db)% 20 28.17 (pdb)% 31 43.66 (odl)% 9 12.68 2-5 67 94.37 VSI 71 Povprečna ocena 3.48
41,"Člani DPK PM za angleščino smo: – sestavljali naloge in jih oddali v obliki štirih izpitnih kompletov (2 x 2), – se redno sestajali; – sodelovali na koordinacijskih sestankih predmetnih komisij za angleščino, nemščino in italijanščino; – redno pregledovali in obravnavali komentarje ocenjevalcev izpitnih kompletov; – pripravili, dopolnili in oddali vsebinsko spremenjeni PIK za angleščino za leto 2011; – redno razpravljali o spremembah (novi tipi izpitnih nalog, širitev preverjanja bralnega razumevanja), ki jih predvideva PIK za 2011; – v spomladanskem in v zimskem izpitnem roku opravljanja poklicne mature dežurali na Ricu; – opravili moderacijo navodil za ocenjevalce po vsakem izpitnem roku – ob pomoči lektorja za angleščino, g. Jasona Blaka, po spomladanskem izpitnem roku pa še skupaj z zunanjimi sodelavkami; – sodelovali pri pretvorbi točk v ocene in pri določitvi praga za pozitivno oceno in mejá med ocenami; – z ZRSŠ sodelovali pri izvedbi seminarjev za učitelje (ocenjevalce) – ločeni seminarji za pisni in za ustni izpit so potekali v petih izvedbah: dve v decembru 2008, ena v februarju in dve v marcu 2009; – opravili evalvacijo izvedenih seminarjev; – vodili študijske skupine za učitelje angleščine; 58","Člani DPK PM za angleščino: - sestavil naloge in jih predložil v obliki štirih izpitnih sklopov (2 x 2), - redno izpolnjeni; - sodelovali na usklajevalnih sestankih predmetnih komisij za angleščino, nemščino in italijanščino; - redno pregledali in razpravljali o pripombah ocenjevalcev izpitnih nizov - pripravili, dopolnili in predložili vsebinsko spremenjeni PIK za angleščino za leto 2011; - redno razpravljali o spremembah (nove vrste izpitov, razširitev bralnega razumevanja test), ki ga je PIK za leto 2011; - v spomladanskem in zimskem izpitnem obdobju opravljanja poklicne mature v Rico; - opravil moderiranje navodil za ocenjevalce po vsakem izpitnem obdobju - s pomočjo lektorja za angleščino, g. Jasona Blakea in po spomladanskem izpitnem obdobju skupaj z zunanjimi sodelavci; - sodeloval pri pretvorbi točk v razrede in pri določanju praga za pozitivno oceno in meja med ocenami; - sodeloval z ZRSŠ pri izvedbi seminarjev za učitelje (evalvatorji) - ločeni seminarji za pisni in pisni del za ustni izpit so potekali v petih različicah: dva decembra 2008, eden februarja in dva marca 2009; - uspešno opravil evalvacijo izvedenih seminarjev - opravljene študijske skupine za učitelje angleščine 58;"
42,6.5.5 Strokovno opažanje,6.5.5 Poklicno opazovanje
43,LETNO MATURITETNO POROČILO O POKLICNI MATURI 2008,Letno poročilo o poklicni matematiki 2008
44,6.6.4 Ocena kakovosti izpitnih pol poklicne mature 2008,6.6.4 Ocena dokumentov o poklicnem maturi 2008
45,− 4b a + a 0 .,- 4b a + 0.
46,"Opažamo hudo pomanjkanje osnovne računske prakse, ki pogosto privede do pomot, napačnih vmesnih rezultatov in seveda do končnega neuspeha. Mnogi kandidati napačno uporabljajo žepno računalo za osnovne računske operacije. Ponovno ugotavljamo nepoznavanje osnovnih pojmov: definicij, formul, postopkov. Komisija je na moderaciji dne 10. junija 2008 ugotovila, da je v izpitni poli pri 5. nalogi zapisano napačno število točk. Naloga je bila vredna 4 točke in ne 5 točk, kakor je bilo napačno zapisano v izpitni poli. V točkovniku in v ocenjevalnem obrazcu ni bilo napake. Na spletni strani smo (ob točkovniku) na napako opozorili ocenjevalce nalog na šolah in se za napako opravičili. Prepričani smo, da napaka ni vplivala na končni uspeh kandidatov. Moderacije, na katere smo povabili tudi 10 učiteljev različnih šol, so potekale brez zapletov.","Opažamo hudo pomanjkanje osnovne računalniške prakse, ki pogosto vodi do napak, nepravilnih vmesnih rezultatov in, seveda, do končnega neuspeha. Mnogi kandidati zlorabljajo kalkulator za osnovne računalniške operacije. Ponovno, opažamo pomanjkanje znanja osnovnih pojmov: definicije, formule, postopki. Na moderiranju dne 10. junija 2008 je Komisija ugotovila, da je izpitni list za 5. nalogo imel napačno število točk. Naloga je bila vredna 4 točke in ne 5 točk, saj je bila napačno navedena v izpitnem listu. V rezultatskem listu in v obrazcu za ocenjevanje ni bilo nobene napake. Na spletni strani (poleg točkovnega pregleda) smo opozorili na napako učiteljem šolskih nalog in se opravičili za napako. Prepričani smo, da napaka ni vplivala na končni uspeh, moderiranje, ki smo ga povabili tudi 10 različnih kandidatov."
47,"Šola 1 2 3 4 8 11 5 6 14 7 16 10 12 19 25 9 17 18 22 29 21 13 20 32 28 49 26 36 45 38 30 43 57 33 15 27 24 41 34 47 44 39 42 65 37 48 31 46 50 40 55 53 61 54 58 64 60 35 66 62 79 87 52 67 59 73 72 98 84 78 106 93 83 Delno Delež Povprečni Opravljali Prijavljeni Odjavljeni Neudeleženi opravljali Negativni uspešnih (%) splošni uspeh 221 256 34 0 1 29 86,9 15,0 203 208 5 0 0 7 96,6 15,2 162 210 45 0 3 20 87,7 14,7 143 164 21 0 0 15 89,5 14,5 137 143 6 0 0 14 89,8 14,9 135 185 44 0 6 25 81,5 14,7 134 173 31 0 8 23 82,8 15,1 132 145 11 0 2 5 96,2 15,0 131 150 17 0 2 16 87,8 14,5 130 193 59 1 3 15 88,5 15,2 123 141 17 0 1 14 88,6 15,8 121 165 31 0 13 25 79,3 14,0 113 144 20 0 11 13 88,5 14,9 112 160 43 0 5 4 96,4 14,7 111 113 2 0 0 17 84,7 15,7 108 196 86 0 2 5 95,4 14,8 107 153 45 0 1 4 96,3 14,0 101 137 36 0 0 5 95,0 15,2 100 123 22 0 1 15 85,0 15,2 99 142 39 0 4 12 87,9 15,7 97 146 45 0 4 17 82,5 15,2 97 192 81 0 14 5 94,8 14,0 96 123 25 0 2 7 92,7 15,2 92 115 23 0 0 18 80,4 14,5 92 138 43 0 3 12 87,0 14,6 90 92 1 0 1 19 78,9 14,6 90 112 22 0 0 4 95,6 14,0 85 94 9 0 0 0 100,0 16,7 85 116 25 0 6 13 84,7 14,3 82 110 25 1 2 15 81,7 14,8 79 105 22 0 4 5 93,7 14,5 79 103 24 0 0 8 89,9 15,1 78 90 9 0 3 13 83,3 14,9 77 105 26 0 2 4 94,8 15,0 77 138 58 1 2 15 80,5 14,0 77 122 36 0 9 10 87,0 14,2 75 138 63 0 0 8 89,3 15,0 74 118 40 0 4 7 90,5 14,4 73 110 33 0 4 4 94,5 14,9 72 77 4 0 1 2 97,2 15,3 72 88 16 0 0 1 98,6 15,2 70 101 24 0 7 6 91,4 14,3 70 82 12 0 0 1 98,6 16,6 70 81 7 0 4 14 80,0 15,0 70 97 24 0 3 3 95,7 15,7 68 84 14 0 2 2 97,1 15,3 68 118 50 0 0 0 100,0 14,5 67 97 27 0 3 3 95,5 15,0 67 87 19 0 1 5 92,5 14,5 67 89 18 1 3 6 91,0 14,0 66 76 9 0 1 4 93,9 15,6 66 99 32 0 1 11 83,3 14,6 65 69 4 0 0 13 80,0 14,2 63 75 11 0 1 9 85,7 14,6 63 75 12 0 0 4 93,7 15,6 61 63 2 0 0 0 100,0 16,5 61 94 22 0 11 8 86,9 14,3 60 98 33 0 5 13 78,3 13,8 60 61 0 0 1 0 100,0 18,4 58 88 26 0 4 7 87,9 14,2 54 65 11 0 0 10 81,5 15,2 54 63 4 0 5 11 79,6 15,0 52 97 42 0 3 4 92,3 14,3 52 64 10 0 2 3 94,2 12,9 51 69 18 0 0 6 88,2 15,3 48 77 26 0 3 6 87,5 14,5 47 64 17 0 0 4 91,5 15,4 46 60 13 0 1 14 69,6 13,6 46 71 20 0 5 7 84,8 14,7 46 65 19 0 0 4 91,3 14,5 45 48 0 0 3 15 66,7 14,2 45 61 16 0 0 7 84,4 14,4 44 84 29 0 11 8 81,8 14,0","Šola 1 2 3 4 8 11 5 6 14 7 12 19 25 9 17 22 29 21 13 20 32 28 49 26 36 36 45 30 43 33 15 41 34 44 39 42 65 37 46 50 55 53 61 64 60 35 62 79 52 59 73 72 98 106 93 83 delnic Povprečni opravljeni odhodi Nesodelujoči Odpisi Negativno uspešni (% 256 221 34 0 1 29.9 15.0 208 203 5 0 0 0 0 0 0 0 7 96.6 162 15.2 45 0 3 87.7 21 164 0 81 0 15.7 143 6 89 0 14.9 0 14.8 185 0 44 173.5 23 15.1 82 0 2 5 96,2 15.0 208 0 16 16 193 59 1 3 15 88,5 15.2 123 141 17 0 1 14 88,6 15,8 121 165 31 0 13 25 79,3 14,0 113 144 20 0 11 13 88,5 14,9 112 160 43 0 5 96,4 14,7 111 113 2 0 17,7 15,7 108 196 86 0 2 95,4 14,8 107 153 45 0 1 4 96,3 14,0 101 137 36 0 5 95,0 15,2 100 123 22 0 1 15 85,0 15,2 99 142 39 0 4 12 87,9 15,7 45 0 4 17 5 82,5 15 97 21 0 81 14,8 96,0 123 0 22 22 22 0 22 18 18 18 0 18 18 0 18 0 18 18 0 18 18 0 18 18 0 18 92 18 0 18 18 18 0 18 92 18 0 94 9 0 0 0 0 0 100,0 16,7 85 116 25 0 6 13 84,7 14,3 82 110 25 1 2 15 81,7 14,8 79 105 22 0 4 5 93,7 14,5 79 103 24 0 8 89,9 15,1 90 9 0 3 83,3 14,9 77 105 26 0 2 94,8 15,0 77 138 58 1 2 80 5 14,0 77 122 36 0 9 10 87,0 75 63 0 8 89 0 15,0 74 40 0 0 4 90 14,4 73 110 33 4 94,5 14,9 72 77 0 1 2 97 15,3 88 72 0 0 0 0 0 0 0 0 0 98 6 21,6 24,6 22 22 0 22 0 22 0 22 0 22 0 22 0 22 0 22 0 22 0 0 22 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 14 14 90 14,4 18 1 3 91,0 14,0 66 76 9 0 1 93,9 15,6 66 99 32 0 1 11 83,3 14,6 65 69 4 0 13 80,0 14,2 63 75 11 0 1 85,7 14,6 63 75 12 0 93,7 15,6 61 63 2 0 0 100,0 16,5 61 94 22 0 11 8,9 14,3 60 98 33 0 13,3 78 13,8 60 0 0 1 100,0 18,4 88 26 0 22 22 0 22 22 22 0 22 22 22 0, 54 51 0 65 0 51 24,5 0 65 0 65 5 0 51 24 0 87 22 22 27 9 22 0, 22 22 0 22 22 22 22 0 11 0 11 11 0 11 8 8 8 8 8 8 8 8 8 8 8 8 8 14, 14 22 0 22 22 0 22 22 22 22 0 22 22 22 22 22 0 22 22 22 0, 22 22 22 22 0, 14 14 14 0 14 14 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 0 5 7 84,8 14,7 46 65 19 0 0 4 91,3 14,5 45 48 0 0 3 15 14,2 66,7 45 61 16 0 7 84,4 14,4 44 84 29 0 11 8 81,8 14,0"
