,original,paraphrase,transformer
82,"Tudi če je minilo morda že deset ur, odkar smo zaužili zadnjo hrano, prebavni proces še vedno ni končan. Preostala črevesna vsebina preide v debelo črevo, h kateremu sodita tudi slepo črevo s črvastim izrastkom (slepičem) in danka, ki se konča z zadnjikom. V debelem črevesu so globoke ugreznine (invaginacije), obložene s celicami, ki izločajo sluz. Glavna naloga debelega črevesa je vsrkavanje vode in elektrolitov iz kašaste mase. Tako postane ta masa trdnejša in vsebuje predvsem neprebavljive ostanke hrane, kot so rastlinska celulozna vlakna, imenovana tudi balastne snovi. V debelem črevesu pa ostajajo tudi dragoceni, največkrat težko prebavljivi sestavni deli hrane, ki so glavno področje dela približno 400 različnih vrst črevesnih bakterij v črevesni flori. Bakterije z vrenjem in gnitjem razkrajajo te prehranske sestavine, da jih telo lahko izkoristi. Kar težko si je predstavljati, da v enem gramu črevesne vsebine deluje približno 50 milijard črevesnih bakterij, ki deloma iz balastnih snovi pridobivajo energijo za svojo presnovo. Neprebavljiva vlakna pa služijo tudi za čiščenje debelega črevesa in so tako nujno potrebna za zdravo prebavo. ","Tudi če je morda deset ur, odkar smo pojedli našo zadnjo hrano, prebavni proces še vedno ni končan. Preostala črevesna vsebina preide v debelo črevo, ki vključuje tanko črevo s črvom podobno rastjo (ščip) in rektum, ki se konča z anusom. V debelem črevesu so globoki rezi (invazije) obloženi s celicami, ki izločajo sluz. Glavna naloga debelega črevesa je absorbirati vodo in elektrolite iz kašaste mase. Zaradi tega je masa bolj trdna in vsebuje predvsem neprebavljive ostanke hrane, kot so rastlinska celulozna vlakna, imenovana tudi balastne snovi. V debelem črevesu, dragocene sestavine hrane, ki so pogosto težko prebavljive, tudi ostanejo. To so glavni poudarek nekaterih 400 različnih vrst črevesnih bakterij v črevesni flori. S kuhanjem in gnitjem bakterije razgradijo te hranilne sestavine za telo za uporabo. Težko si je predstavljati, da je v enem gramu črevesne vsebine aktivnih približno 50 milijard črevesnih bakterij, ki v delu, dobijo energijo za svoj metabolizem iz balastnih snovi. Poleg tega, so bistvenega pomena za čiščenje debelega črevesa.","<pad> Če je minilo že deset ur, odkar smo zaužili zadnjo hrano, prebavni proces še vedno"
83,»Ljubim svoj želodec in mu pošiljam samo najboljše.« ,"""ljubim svoj želodec in pošiljam samo najboljše.""","<pad> ""Ljubim svoj želodec in pošiljam najboljše.""</s>"
84,- Vizualizacija ,- Vizualizacija,<pad> - Vizualizacija</s>
85,"- Vzpostavite stik s svojim želodcem. Poskušajte dobiti informacije o tem,, kakšen je vaš želodec. Svetlo ali temno rdeč? Je barva bolj bleda ali močna? Je želodec čezmerno dejaven ali utrujen in mlahav? Poskušajte se pogovoriti s svojim želodcem. Dodelite mu glas in mu dovolite, da vam pove, kaj mu manjka, kaj si želi ali kar vam pač ima povedati. ","- Vzpostavite stik s svojim želodcem. poskusite dobiti informacije o tem, kakšen je vaš želodec. svetla ali temno rdeča? Je barva svetlejša ali močnejša? Je vaš želodec preveč aktiven ali utrujen in ohlapen? Poskusite se pogovoriti s svojim želodcem. Dodelite glas in dovolite, da vam pove, kaj manjka, kaj hoče, ali kaj ima za povedati.","<pad> - Vzpostavite stik s svojim želodcem. Poskusite dobiti informacije o tem, kakšen je"
86,"Fitoterapija: zjutraj popijte 1 skodelico čaja tavžentrože, uživajte veliko grenčin, vsak dan pojejte 1 svežo črno redkev. ",": zjutraj popijte 1 skodelico čaja taužentrože, uživajte v veliki grenkobi, zaužijte 1 svežo črno redkev vsak dan.","<pad> Fitoterapija: zjutraj popijte 1 skodelico čaja tavžentrože, uživajte"
87,"Priporočljivo je, da poskrbite za spomladansko razstrupitev oziroma očiščenje jeter. V tem času se odrecite kavi in alkoholu, vsak dan si naredite jetrni povitek: na jetra položite vročo vlažno krpo in pol ure počivajte. Med tem časom lahko svoja jetra idealno »programirate«. ","V tem času se odrecite kavi in alkoholu, vsak dan naredite jetrni povoj: na jetra položite vročo vlažno krpo in počivajte pol ure. V tem času lahko idealno ""programirate"" jetra.","<pad> Priporočljivo je, da poskrbite za spomladansko razstrupitev in očiščenje jeter."
88,/ob strani 138/,/ na strani 138,<pad> /ob strani 138/</s>
89,"- Ali obstaja kar koli, kar bi vaša jetra želela od vas? Potrebujejo morda kakšno barvo ali pa samo toplino in vašo naklonjenost? Predstavljate si lahko, da pošljete v jetra posebno skupino čistilcev, ki bodo pomagali pri čiščenju. Uporabite lahko vse zdravilne metode, ki so podrobno opisane na strani 46. Preden se spet napotite na prosto, se zahvalite svojim jetrom. ","Ali vaša jetra kaj potrebuje od vas? Morda potrebujejo barvo ali samo toplino in naklonjenost? Lahko si predstavljate, da pošljete posebno skupino čistilnih sredstev v jetra, da vam pomagajo pri procesu čiščenja. Uporabite lahko vse metode zdravljenja, ki so opisane na strani 46. Preden greste spet ven, se zahvalite jetrom.","<pad> - Ali obstaja nekaj, kar bi vas rada od vas? Potrebujejo morda kakšno barvo ali pa"
90,"Ljudje, ki se nagibajo k tej motnji, živijo največkrat zelo mrzlično, stresno življenje, v katerem nimajo časa za redno in zdravo prehrano. Težave lahko povzročijo tudi glivice ali moteno hormonsko ravnovesje, kakršno nastane na primer pri predmenstrualnem sindromu. ","Ljudje, ki so nagnjeni k motnji, pogosto živijo zelo hektično, stresno življenje, v katerem nimajo časa za redno, zdravo prehrano, pa tudi težave, ki jih povzročajo glive ali hormonsko neravnovesje, na primer pri predmenstrualnem sindromu.","<pad> Ljudje, ki se nagibajo k tej motnji, živijo večinoma zelo mrzlično, stresno življenje"
91,"Črevesje se v pravem pomenu besede upre, če trebuh izključimo na račun glave in ni nobenega časa več za prosti čas, sprostitev in mirno predajanje, torej za vse, kar telo nujno potrebuje. ","V pravem pomenu besede se črevesje upira, če je trebuh odrezan na račun glave in ni več časa za počitek, sprostitev in mirno delitev - vse, kar telo nujno potrebuje.","<pad> Črevesje se v pravem pomenu besede upre, če trebuh izključimo na račun glave in"
92,/str. 142/,/ stran 142 /,<pad> /str. 142/</s>
93,»Odločim se.« ,"""jaz odločam.""","<pad> ""Odločim se.""</s>"
94,Zgradba in delovanje,Struktura in delovanje,<pad> Zgradba in delovanje</s>
95,/2/ ledvična arterija,/ 2 / ledvična arterija,<pad> /2/ ledvična arterija</s>
96,/3/ ledvična vena,/ 3 / ledvična vena,<pad> /3/ ledvična vena</s>
97,/4/ sečni mehur,/ 4 / mehur,<pad> / / / / / / /</s>
98,Sečnica,Sečnica kosti,<pad> Sečnica</s>
99,"Vzdražen mehur spodbuja nastanek vnetij mehurja, ki se pojavljajo predvsem v otroških letih in pri ženskah v spolno aktivni starostni dobi. Vzrok, da so te težave pogostejše pri ženskah, je najbrž krajša sečnica in s tem tudi večja nevarnost, da se bolezenski povzročitelji iz debelega črevesa ali klice, prenesene s spolnim odnosom, razširijo v sečni mehur. ","Zdrav mehur pospešuje vnetje mehurja, ki se pojavi predvsem v otroštvu in pri ženskah v spolno aktivni starosti. Vzrok zanj sta verjetno krajša sečnica in povečano tveganje, da se v mehur razširijo patogeni debelega črevesa ali spolno pogojene bakterije.","<pad> Vzdražen mehur spodbuja nastanek vnetij mehurja, ki se pojavljajo predvsem v otroških letih"
100,"Ta za človeka življenjsko pomembni organ za razstrupljanje lahko opravlja svojo nalogo le, če so baze in kisline v telesu v ravnovesju. Če želite svoje ledvice razbremeniti, uživajte dovolj bazične sveže hrane, kot je sadje, zelenjava in krompir, ter omejite vnos beljakovin. ","Ta vitalni organ za razstrupljanje lahko opravlja svojo funkcijo le, če so baze in kisline v telesu v ravnovesju. Da bi razbremenili ledvice, jejte dovolj osnovnih svežih živil, kot so sadje, zelenjava in krompir, ter omejite vnos beljakovin.","<pad> Ta za človeka življenjsko pomembni organ za razstrupljanje lahko opravlja svojo nalogo le, če so"
101,"Psihosomatska medicina povezuje ponavljajoča se vnetja sečnega mehurja predvsem pri mlajših ženskah z obrambo pred spolnostjo in odporom do partnerja, s preveliko ambicioznostjo ter z zavračanjem sprostitve in predajanja. Na mehur vplivajo lahko tudi nestrpnost in prevelika pričakovanja. ","Psihosomatska medicina povezuje ponavljajoče se okužbe mehurja, zlasti pri mlajših ženskah, s spolno obrambo in odporom do partnerja, s pretirano ambicijo in zavrnitvijo sprostitve in predaje.",<pad> Psihosomatska medicina povezuje ponavljajoča se vnetja sečnega mehurja predvsem pri mlajših ženskah
102,Kaj velja upoštevati na duševni ravni,Kaj je treba upoštevati na duševni ravni,<pad> Kaj velja upoštevati na duševni ravni</s>
103,"Ledvični kamen sestavljajo snovi, ki bi se pravzaprav morale izločiti. Potlačena nasprotja, stare dogme in podobno ustvarjajo na primer podobne zatrdline in zapore, ki motijo pretok čustev in sporazumevanje z drugimi ljudmi. Naravno zdravilstvo izhaja iz dejstva, da so zatrdline in zapore presnove najbrž obstajale na duševni in telesni ravni že dolgo prej, preden se je razvil ledvični kamen. Opazujte se in poskušajte ugotoviti, česa se oklepate, kdaj ne poveste, kaj vas spravlja v jezo, ali kdaj se ne morete odpreti. Učite se, kako popustiti in odnehati. ","Ledvični kamen je sestavljen iz snovi, ki jih je dejansko treba zavreči. Na primer, zatreti protislovja, stare dogme, in podobno ustvariti podobne grudice in blokade, ki vplivajo na pretok čustev in komunikacijo z drugimi ljudmi. Naravno zdravljenje izhaja iz dejstva, da so grudice in blokade v metabolizmu lahko obstajala na duševni in fizični ravni že dolgo, preden je bil razvit rojstni kamen. Opazujte sebe in poskusite ugotoviti, kaj se držite na, ko ne reči, kaj vas naredi jezen, ali ko ne morete odpreti. Naučite se, kako naj gredo, in se odreči.","<pad> Ledvični kamen sestavljajo snovi, ki bi se lahko izločile, in podobne zatrd"
104,»Spodbujam svoje ustvarjalne moči.« ,"""Spodbujam svoje ustvarjalne moči.""","<pad> ""Spodbujam svoje ustvarjalne moči.""</s>"
105,»Sem miren in sproščen.«,"""Umirjen in sproščen sem.""","<pad> ""Sem miren in sproščen.""</s>"
106,»Soočam se s svojimi slabostmi.« ,"""Spoprijemam se s svojimi slabostmi.""","<pad> ""Soočam se s svojimi slabostmi.""</s>"
107,- Vizualizacija,- Vizualizacija,<pad> - Vizualizacija</s>
108,"- Preden začnete s to vajo, si natančno oglejte notranjost svojih ledvic. Pripravite se, kakor je opisano na strani 65. ","- Pred začetkom te vaje natančno preglejte ledvice in jih pripravite, kot je opisano na strani 65.","<pad> - Preden začnete s to vajo, si natančno oglejte notranjost svojih ledvic. - Preden"
109,/3/ obsečnica (prostata),/ 3 / urogen (prostata),<pad> / / / / / / / / / /</s>
110,"Če začutite tovrstne težave, pravočasno poiščite strokovno pomoč in se zavestno soočite s svojimi čustvi. Pomaga lahko tudi pogovor s prijatelji, ki so v podobni življenjski situaciji. ","Če imate takšne težave, pravočasno poiščite strokovno pomoč in se zavestno soočite s svojimi občutki, kot se lahko pogovorite s prijatelji, ki so v podobnem položaju v življenju.","<pad> Če začutite tovrstne težave, pravočasno poiščite strokovno pomoč in se zavestno soočite s svojimi čustvi"
111,"Šipek pomaga, da boste našli cilje, za katere se splača zavzemati, in znali prevzemati odgovornost. ","Granatno jabolko ti pomaga najti cilje, za katere si je vredno prizadevati, in biti odgovoren.","<pad> Šipek pomaga, da boste našli cilje, za katere se splača zavzemati, in znali prevzeti"
112,Izžarevam čistost. ,izžareva čistost.,<pad> Izžarevam čistost.</s>
113,/str. 166/,/ str. 166 /,<pad> /str. 166/</s>
114,"barve, hladne 39",barve in hladno 39,"<pad> barve, hladne 39</s>"
115,celice povrhnjice 85,Celice povrhnjice 85,<pad> 85</s>
116,"debelo črevo 130, 132, 133, 136","debelo črevo 130, 132, 133, 136","<pad> debelo črevo 130, 132, 133, 136</s>"
117,dvomi 63,dvomi 63,<pad> dvomi 63</s>
118,izžarevanje 25,Sevanje 25,<pad> Izžarevanje 25</s>
119,"jajčnika 79, 152","Jajčniki 79, 152","<pad> jajčnika 79, 152</s>"
120,kontaktne alergije 88,kontaktne alergije 88,<pad> kontaktne alergije 88</s>
121,- visok 126,- visoko 126,<pad> - visok 126</s>
122,mobilnik 34,mobilni telefon 34,<pad> Mobilnik 34</s>
123,motnje krvnega obtoka 125,motnje krvnega obtoka 125,<pad> Motnje krvnega obtoka 125</s>
124,nadangel Uriel 56,Nadangel Uriel 56,<pad> nadangel Uriel 56</s>
125,"nadledvični žlezi 19, 78","nadledvične žleze 19, 78","<pad> Nadledvični žlezi 19, 78</s>"
126,nezavedno 49,Nezavedno 49,<pad> Zavestno 49</s>
127,nosečnost 79,Nosečnost pri 79,<pad> nosečnosti 79</s>
128,okostje 92,92 okostje,<pad> okostje 92</s>
129,pljučni mehurčki 115,pljučni mehurčki 115,<pad> pljučni mehurčki 115</s>
130,protitelesa 74,protitelesa 74,<pad> Protitelesa 74</s>
131,samozavest 71,Splošno zaupanje 71,<pad> 71</s>
132,"samozdravilne moči, usmerjanje 65","samozdravilne moči, krmiljenje 65","<pad> Samozdravilne moči, usmerjanje 65</s>"
133,srčna čakra 28,Srčna čakra 28,<pad> Srčna čakra 28</s>
134,"telo, nesnovno 25, 36","telo, neopredmeteno 25, 36","<pad> telo, nesnovno 25, 36</s>"
135,trombociti 124,Trombociti 124,<pad> trombociti 124</s>
136,tumorske celice 76,tumorske celice 76,<pad> tumorske celice 76</s>
137,"utrujenost, duševna 19","utrujenost, duševna utrujenost 19","<pad> utrujenost, duševna 19</s>"
138,vaje za vstop v stanje alfa 65,Kako klicati v Alpha 65?,<pad> vaje za vstop v stanje alfa 65</s>
139,vijolična barva 39,Barve za 39,<pad> vijolična barva 39</s>
140,zaloge energije 26,energetske rezerve 26,<pad> 26</s>
141,zavist 21,Zavist 21.,<pad> zavist 21</s>
142,- božja 54,- 54 Bog,<pad> - božja 54</s>
143,zdravilni učinki 8,Medicinski učinki 8,<pad> Zdravilni učinki 8</s>
144,zdrs medvretenčne ploščice 96 ,zdrs medvretenčne ploščice 96,<pad> zdrs medvretenčne ploščice 96</s>
145,živčne celice 107,Nevronske celice 107,<pad> živčne celice 107</s>
146,"živčni sistem 102, 107","živčni sistem 102, 107","<pad> živčni sistem 102, 107</s>"
147,žleze 74,Število žlez 74,<pad> žleze 74</s>
148,"Bach, dr. Edward",Avtor: Dr. Edward Bach,"<pad> Bach, dr. Edward</s>"
149,"Gre za starokitajski sistem urejanja, ki ga uporabljajo na primer pri gradnji stavb, pri iskanju primernih zemljišč za gradnjo, pri notranji opremi itn. z namenom, omogočiti prost pretok življenjske energije in doseči ravnovesje obeh polarnih sil jina in janga. Po kitajski filozofiji moten pretok energije povzroča bolezen ali slabo počutje. ","To je starodavni kitajski krajinski sistem, ki se uporablja, na primer, pri gradnji stavb, pri iskanju primernega zemljišča za gradnjo, pri oblikovanju notranjosti itd., Da bi omogočili prost pretok življenjske energije in dosegli ravnovesje med polarnimi silami jina in janga.","<pad> Gre za starokitajski sistem urejanja, ki ga uporabljajo na primer pri gradnji stavb, pri"
150,"Oblika japonskega duhovnega zdravljenja, ki ga je ponovno odkril japonski teolog dr. Mikao Usui, aktivira, krepi ali prenaša življenjsko energijo. S polaganjem rok na določene dele telesa in čakre se sprostijo zapore, to pa izboljšuje splošno počutje ter lajša različne težave, kot so zakrčenost mišic ali bolečine v hrbtu. ","Oblika japonskega duhovnega zdravljenja, ki jo je ponovno odkril japonski teolog dr. Mikao Uzui, aktivira, krepi ali prenaša življenjsko energijo. S polaganjem rok na določene dele telesa in čaker se sproščajo blokade, kar izboljšuje splošno počutje in blaži različne težave, kot so togost mišic ali bolečine v hrbtu.","<pad> Oblika japonskega duhovnega zdravljenja, ki ga je ponovno odkril japonski teolog dr. Mika"
151,"Vsi nasveti v tej knjigi so skrbno pretehtani in preverjeni, vendar ne morejo nadomestiti posveta z zdravnikom. Načeloma velja, da je treba vse opisane telesne težave in obolenja razjasniti, zlasti če trajajo dalj časa in če so povezani z občutkom bolezni. Zdravljenje vsakega obolenja pa lahko dodatno podpremo s priporočenimi zdravilnimi metodami, tudi če je potrebno jemanje močnejših zdravil. Navedena dopolnilna zdravila iz naravnega zdravilstva so le priporočila ter jih je treba uskladiti in izbrati od primera do primera. ","Vsi nasveti, navedeni v tej knjigi, so skrbno preučeni in preverjeni, vendar ne morejo nadomestiti posvetovanja z zdravnikom. Načeloma je treba pojasniti vse opisane fizične težave in bolezni, še posebej, če trajajo dolgo časa in če so povezane z občutkom bolezni. Zdravljenje vsake bolezni lahko še naprej podpirajo priporočene metode zdravljenja, tudi če je potrebna uporaba močnejših zdravil.","<pad> Vsi nasveti v tej knjigi so skrbno pretehtani in preverjeni, vendar ne morejo nadomestiti posveta"
